shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
43972,39.938389,-82.830245,413,25.8299
43972,39.938379,-82.830062,414,25.8459
43972,39.938371,-82.829905,415,25.8590
43972,39.938332,-82.829168,416,25.9212
43972,39.938263,-82.827741,417,26.0424
43972,39.938260,-82.827636,418,26.0514
43972,39.938369,-82.827599,419,26.0648
43972,39.938383,-82.827593,420,26.0662
43972,39.938614,-82.827500,421,26.0934
43972,39.938902,-82.827344,422,26.1279
43972,39.939008,-82.827267,423,26.1414
43972,39.939115,-82.827189,424,26.1552
43972,39.939263,-82.827055,425,26.1755
43972,39.939343,-82.827222,426,26.1921
43972,39.939339,-82.827312,427,26.2002
43972,39.939297,-82.827412,428,26.2091
43972,39.939212,-82.827457,429,26.2199
